epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,36.4519,1.26656,2.81766,1.11625,1.12751,0.81958,0.86316,0.91821,0.69033,0.80148,0.84893,0.87936,0.61228,0.93843,2.06897,1.01967,1.00154,0.00040505,0.00040505,0.00040505
30,37.6805,1.25865,2.79756,1.12077,1.1128,0.85313,0.8665,0.91752,0.73518,0.84745,0.85678,0.89952,0.60091,0.88544,1.98454,0.94082,0.98756,0.000387052,0.000387052,0.000387052
31,38.8912,1.30241,2.8218,1.10771,1.15007,0.8981,0.88538,0.93218,0.7651,0.87648,0.87042,0.90703,0.63149,0.84403,1.85364,0.84264,0.9843,0.000369054,0.000369054,0.000369054
32,40.1014,1.22525,2.68349,1.06263,1.10663,0.91333,0.87109,0.94118,0.77548,0.90018,0.86354,0.92458,0.65142,0.83746,1.81264,0.80948,0.97986,0.000351056,0.000351056,0.000351056
33,41.3292,1.2652,2.76557,1.0416,1.12037,0.92884,0.87762,0.93625,0.7807,0.90786,0.8716,0.9216,0.67306,0.82612,1.81199,0.79313,0.97227,0.000333058,0.000333058,0.000333058
34,42.5419,1.24069,2.68232,1.04151,1.11621,0.89861,0.88046,0.93408,0.77738,0.9053,0.87619,0.92914,0.67002,0.80833,1.81188,0.82575,0.97466,0.000315059,0.000315059,0.000315059
35,43.7166,1.21955,2.65499,1.03338,1.11214,0.91029,0.90565,0.94274,0.77232,0.91071,0.90557,0.94042,0.66854,0.83956,1.72092,0.83472,0.98531,0.000297061,0.000297061,0.000297061
36,44.9645,1.22647,2.71056,1.01577,1.08164,0.91283,0.90978,0.94972,0.77408,0.90681,0.91015,0.94566,0.67911,0.89193,1.67206,0.80797,0.98759,0.000279063,0.000279063,0.000279063
37,46.1529,1.2546,2.65024,1.01525,1.08421,0.91685,0.89169,0.95291,0.7903,0.92218,0.88705,0.94932,0.67462,0.85306,1.66842,0.79203,0.9735,0.000261065,0.000261065,0.000261065
38,47.3376,1.17272,2.58093,1.00167,1.06839,0.86595,0.91791,0.9414,0.79314,0.86443,0.90611,0.93718,0.67799,0.79183,1.66994,0.78711,0.95966,0.000243067,0.000243067,0.000243067
39,48.5552,1.19404,2.60513,0.99341,1.08085,0.90819,0.8995,0.94224,0.78154,0.90926,0.89896,0.94076,0.68149,0.83022,1.64569,0.78031,0.96135,0.000225068,0.000225068,0.000225068
40,49.7146,1.16972,2.54841,0.97256,1.08413,0.88866,0.92884,0.9449,0.77278,0.88987,0.91678,0.94275,0.67285,0.85947,1.67693,0.7837,0.9617,0.00020707,0.00020707,0.00020707
41,67.9769,1.14916,2.59535,1.06205,1.12367,0.88981,0.92171,0.94332,0.77145,0.88804,0.92015,0.94171,0.65756,0.86039,1.68237,0.79186,0.95807,0.000189072,0.000189072,0.000189072
42,69.0003,1.13513,2.48606,1.0019,1.08466,0.91455,0.90091,0.94805,0.77157,0.89774,0.89312,0.93048,0.65182,0.84318,1.70418,0.83987,0.96078,0.000171074,0.000171074,0.000171074
43,70.0201,1.12038,2.44495,1.01554,1.09265,0.88852,0.91687,0.94905,0.77481,0.88852,0.91687,0.94103,0.67833,0.85203,1.64013,0.87588,0.96504,0.000153076,0.000153076,0.000153076
44,71.0176,1.10578,2.37496,1.03643,1.08295,0.89222,0.94253,0.95365,0.77416,0.89222,0.94253,0.94801,0.68734,0.84019,1.58213,0.81869,0.95505,0.000135077,0.000135077,0.000135077
45,72.023,1.10426,2.46183,1.0007,1.10545,0.90442,0.94776,0.9538,0.78786,0.90442,0.94776,0.94879,0.6934,0.80543,1.56048,0.78839,0.94884,0.000117079,0.000117079,0.000117079
46,73.0349,1.08174,2.41529,0.96198,1.06481,0.90755,0.9413,0.95161,0.7939,0.90308,0.93698,0.949,0.70063,0.7669,1.52349,0.75135,0.94302,9.9081e-05,9.9081e-05,9.9081e-05
47,74.0673,1.08222,2.41691,0.95119,1.07771,0.9218,0.93934,0.95506,0.80818,0.9218,0.93934,0.95374,0.70946,0.74125,1.49752,0.71958,0.93429,8.10828e-05,8.10828e-05,8.10828e-05
48,75.1012,1.06114,2.35328,0.94177,1.06341,0.91011,0.93683,0.9547,0.81016,0.90939,0.93693,0.9535,0.71803,0.74395,1.48841,0.71106,0.93131,6.30846e-05,6.30846e-05,6.30846e-05
49,76.121,1.06199,2.33281,0.95586,1.06907,0.9045,0.93681,0.95434,0.81147,0.90264,0.93862,0.95322,0.71873,0.7453,1.48369,0.71116,0.93145,4.50864e-05,4.50864e-05,4.50864e-05
50,77.1416,1.03199,2.35066,0.93948,1.0553,0.90207,0.94346,0.95423,0.80535,0.90598,0.91717,0.9412,0.71304,0.74053,1.47845,0.70714,0.93127,2.70882e-05,2.70882e-05,2.70882e-05
